time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
238,3.57112,-3.62715,1.88071,-1.88673,0.112156
239,3.57112,-3.62715,1.88253,-1.88857,0.112382
240,3.46681,-3.52328,1.88454,-1.89059,0.112595
241,3.46681,-3.52328,1.88476,-1.89084,0.112795
242,3.64028,-3.69761,1.88536,-1.89147,0.11297
243,3.64028,-3.69761,1.88944,-1.89557,0.113137
244,3.52686,-3.5846,1.89321,-1.89937,0.113321
245,3.52686,-3.5846,1.89468,-1.90087,0.11351
246,3.4164,-3.47453,1.89632,-1.90253,0.11369
247,3.4164,-3.47453,1.89604,-1.90229,0.113855
248,3.59447,-3.65344,1.89616,-1.90243,0.113997
249,3.59447,-3.65344,1.89984,-1.90614,0.11413
250,3.4942,-3.54394,1.90321,-1.90954,0.114281
251,3.4942,-3.54394,1.90451,-1.9107,0.114438
252,3.38712,-3.4374,1.90594,-1.912,0.114587
253,3.38712,-3.4374,1.90548,-1.91146,0.114724
254,3.56938,-3.62065,1.90539,-1.91129,0.114838
255,3.56938,-3.62065,1.90891,-1.91477,0.114945
256,3.46285,-3.52421,1.91209,-1.91791,0.115071
257,3.46285,-3.52421,1.91307,-1.91904,0.115206
258,3.35928,-3.42096,1.91417,-1.92027,0.115333
259,3.35928,-3.42096,1.91347,-1.91968,0.115449
260,3.54569,-3.60814,1.91312,-1.91943,0.115544
261,3.54569,-3.60814,1.91646,-1.92286,0.115632
262,3.44256,-3.50532,1.91946,-1.92593,0.115742
263,3.44256,-3.50532,1.9203,-1.92684,0.11586
264,3.34238,-3.40542,1.92126,-1.92786,0.115972
265,3.34238,-3.40542,1.92046,-1.92712,0.116073
266,3.53273,-3.59651,1.92001,-1.92671,0.116153
267,3.53273,-3.59651,1.9233,-1.93005,0.116229
268,3.4329,-3.49692,1.92623,-1.93302,0.116326
269,3.4329,-3.49692,1.92705,-1.93388,0.116433
270,3.33598,-3.39064,1.92796,-1.93483,0.116534
271,3.33598,-3.39064,1.92717,-1.93388,0.116626
272,3.53006,-3.58563,1.92669,-1.93329,0.116697
273,3.53006,-3.58563,1.93002,-1.93653,0.116764
274,3.43336,-3.48931,1.93294,-1.93939,0.116853
275,3.43336,-3.48931,1.93381,-1.9402,0.116952
276,3.33954,-3.39585,1.93475,-1.9411,0.117047
277,3.33954,-3.39585,1.93402,-1.94034,0.117134
278,3.53714,-3.59434,1.93359,-1.93988,0.117202
279,3.53714,-3.59434,1.937,-1.9433,0.117266
280,3.4434,-3.50096,1.94,-1.94629,0.117355
281,3.4434,-3.50096,1.94099,-1.94728,0.117456
282,3.35246,-3.4104,1.94203,-1.94832,0.117553
283,3.35246,-3.4104,1.94143,-1.94774,0.117642
284,3.55341,-3.61219,1.94113,-1.94744,0.117715
285,3.55341,-3.61219,1.94472,-1.95105,0.117784
286,3.45283,-3.52155,1.94788,-1.95423,0.117879
287,3.45283,-3.52155,1.94888,-1.95543,0.117987
288,3.36476,-3.42404,1.94995,-1.95667,0.118091
289,3.36476,-3.42404,1.94945,-1.95614,0.118188
290,3.56906,-3.62916,1.94924,-1.95589,0.118267
291,3.56906,-3.62916,1.95299,-1.95963,0.118344
292,3.48077,-3.54119,1.95629,-1.96293,0.118446
293,3.48077,-3.54119,1.95766,-1.96429,0.118561
294,3.39514,-3.45585,1.95905,-1.96568,0.118675
295,3.39514,-3.45585,1.95889,-1.96552,0.118782
296,3.60244,-3.66393,1.95898,-1.96562,0.118874
297,3.60244,-3.66393,1.96306,-1.96972,0.118965
298,3.51646,-3.57823,1.96668,-1.97335,0.119083
299,3.51646,-3.57823,1.96838,-1.97507,0.119216
300,3.42343,-3.48547,1.97009,-1.9768,0.119347
301,3.42343,-3.48547,1.9701,-1.97682,0.119473
302,3.63377,-3.69656,1.97037,-1.97711,0.119582
303,3.63377,-3.69656,1.9747,-1.98146,0.119691
304,3.55,-3.61304,1.97856,-1.98534,0.119826
305,3.55,-3.61304,1.98054,-1.98734,0.119976
306,3.45908,-3.52235,1.98253,-1.98935,0.120125
307,3.45908,-3.52235,1.98284,-1.98968,0.120269
308,3.67229,-3.7363,1.98341,-1.99026,0.120397
309,3.67229,-3.7363,1.98808,-1.99496,0.120525
310,3.59048,-3.6547,1.99226,-1.99916,0.12068
311,3.59048,-3.6547,1.9946,-2.00152,0.12085
312,3.50141,-3.56583,1.99692,-2.00386,0.121021
313,3.50141,-3.56583,1.9976,-2.00456,0.121186
314,3.71738,-3.78252,1.99852,-2.0055,0.121337
315,3.71738,-3.78252,2.00357,-2.01058,0.121487
316,3.63726,-3.70257,2.00813,-2.01516,0.121666
317,3.63726,-3.70257,2.01087,-2.01792,0.12186
318,3.54976,-3.61525,2.01358,-2.02064,0.122055
319,3.54976,-3.61525,2.01466,-2.02174,0.122246
320,3.76837,-3.83455,2.01597,-2.02307,0.122422
321,3.76837,-3.83455,2.02146,-2.02858,0.122599
322,3.68965,-3.7464,2.02643,-2.03358,0.122804
323,3.68965,-3.7464,2.0296,-2.03659,0.123026
324,3.60345,-3.66053,2.03273,-2.03959,0.123248
325,3.60345,-3.66053,2.03424,-2.041,0.123465
326,3.82458,-3.88252,2.03598,-2.04264,0.123668
327,3.82458,-3.88252,2.04192,-2.04853,0.123871
328,3.73741,-3.80524,2.04733,-2.0539,0.124104
329,3.73741,-3.80524,2.05077,-2.05748,0.124353
330,3.65241,-3.72037,2.05418,-2.06101,0.124603
331,3.65241,-3.72037,2.05602,-2.06295,0.124849
332,3.87616,-3.94476,2.05808,-2.0651,0.12508
333,3.87616,-3.94476,2.06441,-2.0715,0.125312
334,3.79001,-3.85875,2.07021,-2.07737,0.125574
335,3.79001,-3.85875,2.07405,-2.08127,0.125853
336,3.70595,-3.7652,2.07786,-2.08513,0.126132
337,3.70595,-3.7652,2.08012,-2.08725,0.126406
338,3.93223,-3.9923,2.08259,-2.08962,0.126665
339,3.93223,-3.9923,2.08936,-2.09631,0.126924
340,3.84687,-3.9072,2.09559,-2.10248,0.127213
341,3.84687,-3.9072,2.09986,-2.1067,0.127519
342,3.76348,-3.82407,2.1041,-2.11089,0.127824
343,3.76348,-3.82407,2.10678,-2.11354,0.128126
344,3.99221,-4.05359,2.10966,-2.1164,0.128413
345,3.99221,-4.05359,2.11688,-2.12362,0.128701
346,3.89778,-3.95941,2.12355,-2.13028,0.12902
347,3.89778,-3.95941,2.12809,-2.13482,0.129355
348,3.815,-3.87689,2.13261,-2.13934,0.12969
349,3.815,-3.87689,2.1356,-2.14234,0.130019
350,4.0463,-4.10895,2.13881,-2.14555,0.130334
351,4.0463,-4.10895,2.14641,-2.15316,0.130649
352,3.95232,-4.01521,2.15344,-2.16021,0.130995
353,3.95232,-4.01521,2.15836,-2.16515,0.131358
354,3.8699,-3.93303,2.16326,-2.17006,0.13172
355,3.8699,-3.93303,2.16663,-2.17344,0.132076
356,4.1037,-4.16757,2.17021,-2.17704,0.132418
357,4.1037,-4.16757,2.17823,-2.18507,0.132761
358,4.00995,-4.07404,2.18567,-2.19254,0.133135
359,4.00995,-4.07404,2.191,-2.19788,0.133526
360,3.91809,-3.98238,2.1963,-2.2032,0.133916
361,3.91809,-3.98238,2.19989,-2.20681,0.134301
362,4.15453,-4.21954,2.20372,-2.21066,0.134669
363,4.15453,-4.21954,2.21205,-2.21901,0.135037
364,4.06097,-4.12616,2.21981,-2.22679,0.135436
365,4.06097,-4.12616,2.22545,-2.23245,0.135852
366,3.96921,-4.02499,2.23107,-2.23809,0.136267
367,3.96921,-4.02499,2.23499,-2.24185,0.136676
368,4.20822,-4.26489,2.23915,-2.24588,0.137068
369,4.20822,-4.26489,2.24784,-2.25447,0.137459
370,4.10506,-4.17166,2.25595,-2.26251,0.13788
371,4.10506,-4.17166,2.26177,-2.26844,0.138318
372,4.0134,-4.08015,2.26758,-2.27435,0.138754
373,4.0134,-4.08015,2.27171,-2.27856,0.139184
374,4.25513,-4.32255,2.27608,-2.283,0.139598
375,4.25513,-4.32255,2.28505,-2.29204,0.14001
376,4.15194,-4.21951,2.29344,-2.30049,0.140454
377,4.15194,-4.21951,2.29954,-2.30664,0.140914
378,4.0602,-4.11832,2.30564,-2.31277,0.141373
379,4.0602,-4.11832,2.31005,-2.31705,0.141824
380,4.3046,-4.36355,2.31471,-2.3216,0.142257
381,4.3046,-4.36355,2.324,-2.3308,0.142689
382,4.20122,-4.26048,2.3327,-2.33944,0.143152
383,4.20122,-4.26048,2.3391,-2.34579,0.143632
384,4.09965,-4.15919,2.34549,-2.35214,0.144109
385,4.09965,-4.15919,2.35001,-2.35663,0.144578
386,4.34686,-4.40721,2.3548,-2.36139,0.145029
387,4.34686,-4.40721,2.36428,-2.37087,0.145479
388,4.23372,-4.30394,2.37319,-2.37977,0.145959
389,4.23372,-4.30394,2.37962,-2.38637,0.146455
390,4.13211,-4.19284,2.38606,-2.39296,0.146948
391,4.13211,-4.19284,2.39067,-2.39751,0.147433
392,4.38227,-4.44379,2.39556,-2.40237,0.147897
393,4.38227,-4.44379,2.40521,-2.41199,0.148359
394,4.27859,-4.34038,2.41428,-2.42104,0.148852
395,4.27859,-4.34038,2.42105,-2.4278,0.149361
396,4.16705,-4.22909,2.42781,-2.43455,0.149868
397,4.16705,-4.22909,2.43252,-2.43926,0.150366
398,4.42011,-4.48291,2.43754,-2.44428,0.150844
399,4.42011,-4.48291,2.44737,-2.45411,0.151319
400,4.30661,-4.36965,2.45662,-2.46337,0.151825
401,4.30661,-4.36965,2.46338,-2.47015,0.152347
402,4.19498,-4.25825,2.47017,-2.47695,0.152865
403,4.19498,-4.25825,2.47493,-2.48172,0.153373
404,4.45108,-4.51509,2.48001,-2.48681,0.153861
405,4.45108,-4.51509,2.48996,-2.49678,0.154344
406,4.3374,-4.40162,2.49933,-2.50617,0.154859
407,4.3374,-4.40162,2.50621,-2.51307,0.15539
408,4.22558,-4.29,2.51312,-2.51999,0.155916
409,4.22558,-4.29,2.518,-2.52489,0.156434
410,4.48467,-4.5498,2.52319,-2.53009,0.15693
411,4.48467,-4.5498,2.5333,-2.54023,0.157423
412,4.36113,-4.42645,2.54283,-2.54978,0.157947
413,4.36113,-4.42645,2.54969,-2.55666,0.158487
414,4.23962,-4.30512,2.5566,-2.56358,0.159021
415,4.23962,-4.30512,2.56132,-2.56831,0.159544
416,4.50203,-4.56822,2.56639,-2.5734,0.160044
417,4.50203,-4.56822,2.57647,-2.5835,0.160539
418,4.38808,-4.44484,2.58597,-2.59303,0.161065
419,4.38808,-4.44484,2.59299,-2.59989,0.161607
420,4.26637,-4.32347,2.60003,-2.6068,0.162143
421,4.26637,-4.32347,2.60487,-2.61153,0.162669
422,4.53185,-4.58981,2.61004,-2.61663,0.163171
423,4.53185,-4.58981,2.62026,-2.62679,0.163669
424,4.39849,-4.46635,2.62989,-2.63637,0.164199
425,4.39849,-4.46635,2.63667,-2.64329,0.164743
426,4.27692,-4.34492,2.64352,-2.65026,0.165282
427,4.27692,-4.34492,2.6482,-2.65504,0.165809
428,4.54578,-4.61442,2.65325,-2.66018,0.166312
429,4.54578,-4.61442,2.66343,-2.67043,0.16681
430,4.42205,-4.48124,2.67302,-2.68009,0.16734
431,4.42205,-4.48124,2.67995,-2.6869,0.167885
432,4.29076,-4.35026,2.68692,-2.69377,0.168424
433,4.29076,-4.35026,2.69153,-2.69831,0.168951
434,4.56294,-4.62325,2.69652,-2.70324,0.169453
